,3
Intel Corporation Common Stock (INTC),1.0
NVIDIA Corporation Common Stock (NVDA),1.0
"Pfizer, Inc. Common Stock (PFE)",1.0
"Meta Platforms, Inc. Class A Common Stock (FB)",0.0
Johnson & Johnson Common Stock (JNJ),0.0
