Date,Close/Last,Volume,Open,High,Low
12/01/2021,$2821.03,1702762,$2880,$2919.005,$2818.24
11/30/2021,$2837.95,2103361,$2900.17,$2920,$2832.03
11/29/2021,$2910.61,1629752,$2880,$2925.95,$2877.87
11/26/2021,$2843.66,1523462,$2886.97,$2891.15,$2836.85
11/24/2021,$2922.4,902007,$2909.47,$2924.985,$2887.46
11/23/2021,$2915.64,1361558,$2923.06,$2933.2,$2882.3
11/22/2021,$2926.04,1531460,$2986.65,$2996.59,$2922.95
11/19/2021,$2978.53,1684969,$2999.509,$3019.33,$2977.98
11/18/2021,$2996.77,1781411,$2964.83,$3011.61,$2957.69
11/17/2021,$2960.94,979975,$2960.55,$2971.19,$2944.8
11/16/2021,$2957.52,945200,$2962.99,$2975.25,$2946.25
11/15/2021,$2969.04,1175352,$2978.01,$2990.99,$2951.5
11/12/2021,$2973.56,1118000,$2932.31,$2977,$2908.2201
11/11/2021,$2915.33,825874,$2929.79,$2950.71,$2912.01
11/10/2021,$2917.87,1498490,$2950,$2961.4,$2890.75
11/09/2021,$2978.37,976487,$2984.66,$2996.69,$2944.895
11/08/2021,$2980.62,1152625,$2996.5,$3012.295,$2968.61
11/05/2021,$2977.04,1917737,$2983.39,$3006.55,$2963.94
11/04/2021,$2965.35,1920563,$2942.49,$2994.67,$2926.16
11/03/2021,$2931.96,1374662,$2918.01,$2933.38,$2891.82
11/02/2021,$2908.65,1674112,$2891.59,$2932.18,$2886.71
11/01/2021,$2869.94,2346162,$2960.92,$2960.92,$2864.51
10/29/2021,$2960.92,2166015,$2901.56,$2964.84,$2892.99
10/28/2021,$2916.98,1810319,$2942.69,$2943.16,$2892.535
10/27/2021,$2924.35,4289070,$2788.1,$2973,$2788.1
10/26/2021,$2786.17,2461751,$2785.27,$2801.6588,$2766.09
10/25/2021,$2748.94,1720613,$2751,$2760,$2708.48
10/22/2021,$2751.33,2529448,$2783,$2811.655,$2721.12
10/21/2021,$2837.72,1314613,$2835.38,$2843.12,$2810
10/20/2021,$2835.38,1164403,$2866.76,$2870.9218,$2827.53
10/19/2021,$2864.74,1008150,$2867.75,$2873.25,$2852
10/18/2021,$2855.56,1019808,$2821.53,$2855.92,$2821.389
10/15/2021,$2827.36,1513722,$2832.29,$2834.36,$2815.1
10/14/2021,$2823.02,1596397,$2789.476,$2826.745,$2776.5
10/13/2021,$2751.64,983116,$2748.05,$2760,$2730.3763
10/12/2021,$2728.98,1816612,$2789.6,$2790.14,$2715.2
10/11/2021,$2778.28,897681,$2785.84,$2814.24,$2777.18
10/08/2021,$2795.71,1326292,$2791.54,$2806.6207,$2784.35
10/07/2021,$2784.5,1255507,$2777.84,$2800.84,$2773.024
10/06/2021,$2751.3,1218214,$2695,$2755,$2691
10/05/2021,$2720.46,1620163,$2680.82,$2744.49,$2680.82
10/04/2021,$2673.19,2560097,$2719.21,$2719.21,$2621
10/01/2021,$2730.86,1768009,$2688.95,$2738.21,$2681.46
09/30/2021,$2673.52,1901440,$2685.23,$2710.85,$2671.12
09/29/2021,$2687.07,1542435,$2739.6,$2743.02,$2677.3
09/28/2021,$2716.6,2288610,$2773.1,$2781.93,$2707.2
09/27/2021,$2821.44,1094098,$2816.0853,$2838.7699,$2801.35
09/24/2021,$2844.3,1149195,$2810.77,$2846.605,$2804.82
09/23/2021,$2824.32,1047550,$2819.75,$2833.93,$2808.03
09/22/2021,$2805.67,1252778,$2786.08,$2817.74,$2771.03
09/21/2021,$2780.66,1266595,$2794.99,$2800.23,$2765.56
09/20/2021,$2774.39,2325902,$2763.23,$2780,$2726.435
09/17/2021,$2816,2669223,$2860.61,$2869,$2809.395
09/16/2021,$2872.2,1309771,$2879.01,$2886,$2848.03
09/15/2021,$2888.59,1370379,$2855.43,$2889.01,$2826.95
09/14/2021,$2850.89,983693,$2859.905,$2867.26,$2835
09/13/2021,$2846.65,1104692,$2838.99,$2859,$2825
09/10/2021,$2817.52,1841967,$2884.25,$2894.37,$2814.755
09/09/2021,$2870.82,765855,$2876.81,$2886.21,$2863.55
09/08/2021,$2873.82,917511,$2882,$2888,$2860
09/07/2021,$2885.61,1006595,$2876.69,$2891.3,$2872.38
09/03/2021,$2874.79,992718,$2861.61,$2883.1,$2848.01
09/02/2021,$2865.74,1617907,$2904.32,$2910.385,$2863.695
09/01/2021,$2904.31,1096805,$2900,$2925.075,$2897.67
08/31/2021,$2893.95,1122438,$2902.94,$2903.425,$2885.62
08/30/2021,$2891.81,1221710,$2888,$2919.41,$2883.26
08/27/2021,$2880.08,1439010,$2833.05,$2890.25,$2829.94
08/26/2021,$2828.81,1030466,$2835,$2848.35,$2827.14
08/25/2021,$2841.58,792574,$2832.5,$2843.7897,$2827.52
08/24/2021,$2825.23,963361,$2812.23,$2841.6,$2806.77
08/23/2021,$2800.83,1422670,$2759.39,$2817.49,$2752.15
08/20/2021,$2748.59,1559658,$2720,$2751.08,$2705
08/19/2021,$2713.6,1089127,$2688.71,$2727.05,$2685
08/18/2021,$2708.98,962947,$2730,$2742.085,$2706.43
08/17/2021,$2733.23,1085760,$2755,$2765.31,$2721.64
08/16/2021,$2766.19,1119918,$2750.498,$2767.25,$2705.975
08/13/2021,$2754.55,797372,$2745,$2757.13,$2740.66
08/12/2021,$2743.88,825943,$2719.51,$2746,$2708.51
08/11/2021,$2725.58,767600,$2743.63,$2753.645,$2725.43
08/10/2021,$2736.14,970704,$2746.84,$2755.4461,$2727.29
08/09/2021,$2738.26,888300,$2718.85,$2743.68,$2706.785
08/06/2021,$2714.77,1024406,$2720.84,$2729.45,$2704.2
08/05/2021,$2725.03,893450,$2713.61,$2727,$2696.92
08/04/2021,$2702.51,983801,$2706.99,$2712.99,$2689.74
08/03/2021,$2712.6,1038094,$2702.7,$2714.64,$2666.39
