Date,Close/Last,Volume,Open,High,Low
12/01/2021,$256.86,364075,$263.72,$264.59,$256.85
11/30/2021,$260.46,380756,$266.42,$267.66,$259.71
11/29/2021,$265.77,224487,$266.1,$267.82,$265.07
11/26/2021,$262.71,273890,$264.54,$265.89,$261.23
11/24/2021,$268.33,257891,$264.06,$268.855,$263.9
11/23/2021,$266.96,516710,$271.38,$271.8,$264.96
11/22/2021,$275.3,724495,$275.37,$278.78,$273
11/19/2021,$271.31,456714,$268.8,$271.9,$268.14
11/18/2021,$265.8,362725,$266.84,$267.45,$264.42
11/17/2021,$266.28,851879,$263.52,$268.5,$262.28
11/16/2021,$257.89,195546,$258.66,$259.745,$257.48
11/15/2021,$258.85,139727,$260.19,$260.29,$258.28
11/12/2021,$258.57,330130,$259.8,$260.9471,$258.3
11/11/2021,$258.1,353051,$256.14,$258.44,$255.06
11/10/2021,$252.98,428518,$254.95,$256.88,$252.72
11/09/2021,$256.67,381698,$260.88,$261,$256.285
11/08/2021,$260.73,285800,$262.36,$263.94,$260.73
11/05/2021,$262.52,628728,$266.22,$266.67,$261.52
11/04/2021,$257.33,405825,$256.45,$258.32,$254.76
11/03/2021,$255.68,1116900,$261.67,$261.96,$253.59
11/02/2021,$248.81,601822,$240.06,$249.01,$239.39
11/01/2021,$239.74,834670,$241.35,$244.12,$238.9
10/29/2021,$237.17,874532,$235.16,$237.54,$235.02
10/28/2021,$235.06,516097,$236.3,$238,$234.53
10/27/2021,$231.44,284539,$230.64,$232.83,$230
10/26/2021,$230,894631,$236.32,$236.52,$229.9
10/25/2021,$231.01,397997,$227.36,$232.775,$226.42
10/22/2021,$223,124780,$224.4,$224.49,$222.24
10/21/2021,$224.61,115107,$224.04,$225.7,$223.67
10/20/2021,$223.04,198276,$224.39,$224.82,$222.87
10/19/2021,$224.69,265164,$223.74,$225.81,$223.46
10/18/2021,$222.4,147866,$222.12,$223.18,$221.16
10/15/2021,$224.42,274559,$222.73,$224.43,$222.09
10/14/2021,$223.34,319739,$217.87,$223.4,$217.14
10/13/2021,$214.05,472371,$217.02,$217.02,$213.8446
10/12/2021,$215.62,217928,$215.7,$217.39,$215.04
10/11/2021,$215.16,408468,$213.36,$217.16,$212.55
10/08/2021,$212.9,229747,$212.22,$214.92,$211.87
10/07/2021,$211.22,216826,$209.47,$212.47,$209.34
10/06/2021,$207.58,165886,$206.15,$208.06,$206
10/05/2021,$209.71,227087,$206.72,$211.29,$206.33
10/04/2021,$207.24,230832,$207.84,$208.26,$205.69
10/01/2021,$209.19,119413,$209.83,$210.47,$207.59
09/30/2021,$209.12,307363,$208.28,$210.47,$207.78
09/29/2021,$209.38,155071,$212.42,$212.46,$209.3
09/28/2021,$211.31,311677,$215.12,$215.12,$210.51
09/27/2021,$216.55,245177,$215.85,$217.59,$214.36
09/24/2021,$217.46,111626,$215.74,$217.61,$215.74
09/23/2021,$217.12,131631,$217.19,$217.89,$215.88
09/22/2021,$215.84,216314,$214.57,$216.76,$213.88
09/21/2021,$214.71,296254,$214.78,$215.58,$214.0201
09/20/2021,$213.17,246174,$212.45,$213.78,$211.68
09/17/2021,$216.39,194441,$218.51,$218.52,$215.6
09/16/2021,$218.86,282915,$221.82,$222.38,$218.3
09/15/2021,$221.48,377024,$221.64,$222,$219.12
09/14/2021,$220.78,331161,$221.72,$223.21,$220.59
09/13/2021,$219.29,287790,$220.64,$220.64,$216.9601
09/10/2021,$219.1,375871,$222.67,$222.82,$219.04
09/09/2021,$219.55,496309,$223.54,$223.58,$219.38
09/08/2021,$219.34,169347,$219.48,$220.43,$219.01
09/07/2021,$220.53,224984,$220.36,$220.68,$218.83
09/03/2021,$218.78,99084,$219.32,$219.66,$218.28
09/02/2021,$219.52,170672,$219.96,$220.64,$219.04
09/01/2021,$217.47,174460,$217.53,$219.28,$217.28
08/31/2021,$217.4,133103,$216.91,$217.66,$215.77
08/30/2021,$217.59,189321,$216.65,$218.88,$215.82
08/27/2021,$216.32,98659,$214.62,$217.34,$214.62
08/26/2021,$214.64,131108,$215.63,$216.66,$214.44
08/25/2021,$217.98,156898,$216.54,$218.765,$216.3
08/24/2021,$215.09,240542,$215,$217.74,$214.61
08/23/2021,$217.14,263689,$213.85,$217.32,$213.6
08/20/2021,$214.12,273978,$211,$214.25,$210.84
08/19/2021,$213.16,167010,$211.98,$214.05,$211.79
08/18/2021,$218.35,133205,$219.79,$220.39,$218.35
08/17/2021,$219.25,501493,$222.83,$223.26,$218.585
08/16/2021,$225.87,235718,$225.49,$226.1711,$223.7
08/13/2021,$225.88,224275,$225.63,$227.48,$225.59
08/12/2021,$223.25,95409,$224.1,$224.1,$222.755
08/11/2021,$224.04,139655,$223.54,$224.27,$222.56
08/10/2021,$221.2,165177,$222.59,$222.76,$220.9
08/09/2021,$222.12,222152,$221,$222.935,$220.93
08/06/2021,$219.46,154358,$220.43,$220.95,$219.28
08/05/2021,$219.42,335543,$216.55,$219.53,$216.14
08/04/2021,$211.74,335706,$212.85,$213.3,$210.5
08/03/2021,$211.3,479074,$211.65,$211.98,$208.03
08/02/2021,$212.15,514679,$216.84,$217.18,$211.65
07/30/2021,$218.29,533503,$218,$219.45,$217.81
07/29/2021,$216.24,308685,$214.07,$216.42,$213.82
07/28/2021,$212.24,224888,$210.65,$212.8,$210.17
07/27/2021,$211.39,242151,$212.21,$212.21,$210.15
07/26/2021,$211.99,197608,$211.16,$212.04,$210.9
07/23/2021,$212.11,322656,$209.81,$212.45,$209.43
07/22/2021,$207.21,159628,$206.75,$207.21,$205.61
07/21/2021,$205.61,123773,$205.15,$206.63,$204.81
07/20/2021,$204.14,176896,$202.48,$204.25,$201.93
07/19/2021,$204.11,227382,$204.4,$205.312,$203.25
07/16/2021,$206.89,231095,$207.11,$211.22,$206.02
07/15/2021,$206.84,384630,$206.84,$207.31,$204.36
07/14/2021,$210.32,197728,$210.01,$210.78,$209.73
07/13/2021,$209.66,108554,$208.93,$209.88,$208.79
07/12/2021,$209.58,165344,$210.62,$210.62,$209.19
07/09/2021,$209.08,244707,$208.48,$209.38,$207.58
07/08/2021,$205.66,242235,$204.83,$207.2588,$203.8001
07/07/2021,$207.03,260516,$206.96,$207.575,$204.8
07/06/2021,$205.86,239865,$206.79,$207.0061,$205.04
07/02/2021,$206.79,233064,$204.73,$207.66,$203.87
07/01/2021,$203.56,155646,$204.81,$205.05,$203.05
06/30/2021,$206.05,166748,$206.35,$206.93,$205.23
06/29/2021,$206.87,149611,$206.99,$207.45,$206.14
06/28/2021,$205.42,108025,$205.07,$206.075,$204.4
06/25/2021,$204.22,352201,$204.05,$204.9,$202.55
06/24/2021,$203.28,318176,$201.78,$203.72,$201.42
06/23/2021,$200.11,230895,$201.08,$201.08,$199.63
06/22/2021,$201.49,228263,$202.08,$202.08,$200.25
06/21/2021,$202.18,252791,$201.51,$203.13,$201
06/18/2021,$200.09,196300,$200.46,$200.81,$199.75
06/17/2021,$200.92,620644,$197.59,$202.24,$197.33
06/16/2021,$202.75,403186,$202.89,$203.52,$201.33
06/15/2021,$204.5,498398,$204.24,$204.8,$203.1334
06/14/2021,$205.28,405277,$203.72,$205.77,$202.535
06/11/2021,$211.31,132568,$211,$211.34,$209.95
06/10/2021,$211.65,255573,$212.4,$213.24,$210.93
06/09/2021,$212.18,314406,$214.7,$216.77,$212.18
06/08/2021,$218.82,405626,$220.77,$221.4555,$217.57
06/07/2021,$219.37,243953,$218.81,$220.055,$218.45
06/04/2021,$216.88,265552,$217.25,$218.14,$216.23
06/03/2021,$215.43,268024,$214.41,$216.255,$213.78
06/02/2021,$214.41,191807,$212.36,$214.47,$212.1
