Date,Close/Last,Volume,Open,High,Low
12/01/2021,$10.96,N/A,$10.96,$10.96,$10.96
11/30/2021,$10.96,N/A,$10.96,$10.96,$10.96
11/29/2021,$10.96,N/A,$10.96,$10.96,$10.96
11/26/2021,$10.96,N/A,$10.96,$10.96,$10.96
11/24/2021,$10.96,N/A,$10.96,$10.96,$10.96
11/23/2021,$10.96,N/A,$10.96,$10.96,$10.96
11/22/2021,$10.96,130,$10.96,$10.96,$10.96
11/19/2021,$11.05,2489,$11.05,$11.05,$10.985
11/18/2021,$10.92,N/A,$10.92,$10.92,$10.92
11/17/2021,$10.92,N/A,$10.92,$10.92,$10.92
11/16/2021,$10.92,N/A,$10.92,$10.92,$10.92
11/15/2021,$10.92,N/A,$10.92,$10.92,$10.92
11/12/2021,$10.92,1098,$10.96,$11.3,$10.92
11/11/2021,$10.92,N/A,$10.92,$10.92,$10.92
11/10/2021,$10.92,N/A,$10.92,$10.92,$10.92
11/09/2021,$10.92,N/A,$10.92,$10.92,$10.92
11/08/2021,$10.92,467,$10.9,$10.92,$10.9
11/05/2021,$11.3,122,$11.3,$11.3,$11.3
11/04/2021,$11.27,107,$11.27,$11.27,$11.27
11/03/2021,$11.3,107,$11.3,$11.3,$11.3
11/02/2021,$11.3,241,$11.2999,$11.3,$11.2999
11/01/2021,$11.3,N/A,$11.3,$11.3,$11.3
10/29/2021,$11.3,160,$11.3,$11.3,$11.3
10/28/2021,$10.9,N/A,$10.9,$10.9,$10.9
10/27/2021,$10.9,1073,$10.9,$10.9,$10.9
10/26/2021,$10.895,N/A,$10.895,$10.895,$10.895
10/25/2021,$10.895,129,$10.895,$10.895,$10.895
10/22/2021,$10.885,N/A,$10.885,$10.885,$10.885
10/21/2021,$10.885,N/A,$10.885,$10.885,$10.885
10/20/2021,$10.885,N/A,$10.885,$10.885,$10.885
10/19/2021,$10.885,N/A,$10.885,$10.885,$10.885
10/18/2021,$10.885,N/A,$10.885,$10.885,$10.885
10/15/2021,$10.885,111,$10.885,$10.885,$10.885
10/14/2021,$10.87,N/A,$10.87,$10.87,$10.87
10/13/2021,$10.87,N/A,$10.87,$10.87,$10.87
10/12/2021,$10.87,600,$10.87,$10.87,$10.87
10/11/2021,$10.87,N/A,$10.87,$10.87,$10.87
10/08/2021,$10.87,N/A,$10.87,$10.87,$10.87
10/07/2021,$10.87,N/A,$10.87,$10.87,$10.87
10/06/2021,$10.87,N/A,$10.87,$10.87,$10.87
10/05/2021,$10.87,N/A,$10.87,$10.87,$10.87
10/04/2021,$10.87,N/A,$10.87,$10.87,$10.87
10/01/2021,$10.87,N/A,$10.87,$10.87,$10.87
09/30/2021,$10.87,N/A,$10.87,$10.87,$10.87
09/29/2021,$10.87,N/A,$10.87,$10.87,$10.87
09/28/2021,$10.87,N/A,$10.87,$10.87,$10.87
09/27/2021,$10.87,N/A,$10.87,$10.87,$10.87
09/24/2021,$10.87,N/A,$10.87,$10.87,$10.87
09/23/2021,$10.87,1792,$10.87,$10.87,$10.87
09/22/2021,$10.86,N/A,$10.86,$10.86,$10.86
09/21/2021,$10.86,N/A,$10.86,$10.86,$10.86
09/20/2021,$10.86,N/A,$10.86,$10.86,$10.86
09/17/2021,$10.86,N/A,$10.86,$10.86,$10.86
09/16/2021,$10.86,N/A,$10.86,$10.86,$10.86
09/15/2021,$10.86,N/A,$10.86,$10.86,$10.86
09/14/2021,$10.86,N/A,$10.86,$10.86,$10.86
09/13/2021,$10.86,N/A,$10.86,$10.86,$10.86
09/10/2021,$10.86,N/A,$10.86,$10.86,$10.86
