Date,Close/Last,Volume,Open,High,Low
12/01/2021,$306.28,8014842,$320.78,$322.02,$306
11/30/2021,$314.92,10237560,$318,$320.76,$310.11
11/29/2021,$323.01,6362190,$330.005,$331.82,$318.25
11/26/2021,$324.17,6613928,$321.585,$326.87,$319
11/24/2021,$340,6414372,$326.95,$340.357,$325.02
11/23/2021,$329,7118598,$324.96,$329.69,$321.69
11/22/2021,$321.3,11380660,$339.8,$341.48,$319.76
11/19/2021,$339.72,6957896,$346,$346.65,$339.13
11/18/2021,$348.22,6534921,$360.73,$362.48,$344.58
11/17/2021,$359.17,11727270,$359.58,$368,$351.22
11/16/2021,$369.56,4969009,$364.77,$371.07,$362
11/15/2021,$361.36,4693196,$365.14,$371.13,$360.66
11/12/2021,$363.5,4724205,$356.06,$363.84,$355.93
11/11/2021,$354.34,4472150,$358.38,$359.64,$352.57
11/10/2021,$357.94,6337083,$350.096,$359.62,$349.5
11/09/2021,$344.65,4248134,$350,$350.2,$339.65
11/08/2021,$349.67,3862207,$348.01,$353.15,$347.66
11/05/2021,$348.79,7201499,$342.44,$350.16,$341
11/04/2021,$335.43,4819487,$331.07,$338.63,$329.33
11/03/2021,$329.43,3952521,$328.5,$329.58,$323.34
11/02/2021,$328.48,5375305,$335.13,$335.77,$326.7
11/01/2021,$334.05,5126224,$335.25,$340.9,$332.88
10/29/2021,$335.52,5843696,$331.24,$338.15,$331.11
10/28/2021,$333.03,9505096,$344.17,$350.49,$328.87
10/27/2021,$335.72,9652748,$348,$351.12,$333.8
10/26/2021,$357.32,3320059,$363.38,$367.3499,$356.81
10/25/2021,$360.86,2447944,$362.46,$364.3,$358.7925
10/22/2021,$358.67,2774374,$356.68,$361.64,$354.9
10/21/2021,$356.21,2516486,$354.6,$356.38,$347.27
10/20/2021,$356.77,2796212,$361.7,$362.4894,$356
10/19/2021,$362.1,2835441,$358.4,$362.29,$357.605
10/18/2021,$358.44,3280888,$353.96,$359.94,$350.2341
10/15/2021,$356,4053607,$349,$356.6068,$347.74
10/14/2021,$344.58,4085934,$343.84,$345.81,$340.83
10/13/2021,$342.35,3755921,$346.25,$349.499,$336.98
10/12/2021,$345.34,3042883,$348.65,$350,$344.62
10/11/2021,$347.15,2769768,$353.95,$354.88,$346.9
10/08/2021,$354.96,2336909,$356,$360.37,$354.21
10/07/2021,$353.91,3209227,$349,$357.9,$349
10/06/2021,$348.69,3711983,$340.01,$348.88,$339.11
10/05/2021,$343.21,4724056,$347.56,$348.565,$342.93
10/04/2021,$344.2,7901488,$359.93,$360.65,$339.34
