Date,Close/Last,Volume,Open,High,Low
12/01/2021,$137.14,12229040,$140.51,$140.715,$137.04
11/30/2021,$140.63,21606350,$141.48,$142.5,$140.01
11/29/2021,$142.63,11013170,$145,$145.25,$142.23
11/26/2021,$144.9,7013238,$146.44,$147.88,$144.42
11/24/2021,$146.54,6029780,$145.73,$147.06,$145.64
11/23/2021,$145.81,9972448,$144.25,$145.98,$143.25
11/22/2021,$144.78,9716788,$142.66,$145.36,$142
11/19/2021,$142.39,9380728,$143.62,$144,$141.94
11/18/2021,$143.16,8135824,$142.14,$143.29,$140.86
11/17/2021,$141.94,11038740,$143.16,$144.72,$141.82
11/16/2021,$143.17,24662230,$145.1,$146.68,$142.3
11/15/2021,$146.91,9631988,$148.15,$148.45,$146.4
11/12/2021,$147.76,6104559,$149,$149.24,$147.54
11/11/2021,$148.5,4534383,$148.77,$148.99,$148.19
11/10/2021,$148.44,5601211,$148.73,$149.62,$147.98
11/09/2021,$149.79,5000591,$149.52,$149.87,$148.865
11/08/2021,$149.27,5124422,$150.22,$150.51,$148.73
11/05/2021,$150.23,5027294,$152,$152,$149.615
11/04/2021,$151.28,5049739,$150.18,$151.848,$149.83
11/03/2021,$150.18,4736531,$149.6,$150.29,$149.03
11/02/2021,$149.72,4546347,$149.97,$150.175,$149.28
11/01/2021,$149.79,4183158,$149.98,$150.75,$149.35
10/29/2021,$149.42,7340928,$147.91,$150.099,$147.5606
10/28/2021,$148.45,4199471,$148.34,$148.98,$147.71
10/27/2021,$147.53,4855225,$148.96,$149.02,$147.39
10/26/2021,$148.75,5806238,$150,$150.55,$148.46
10/25/2021,$150.06,6429329,$148.78,$150.52,$148.01
10/22/2021,$148.34,7065242,$147.1,$149.69,$147.1
10/21/2021,$146.81,4651463,$146.58,$146.915,$145.81
10/20/2021,$146,5817866,$144.89,$146.49,$144.89
10/19/2021,$144.69,11148100,$144.63,$145.61,$143.66
10/18/2021,$141.68,6628966,$140,$142.005,$139.83
10/15/2021,$140.55,6912387,$140.62,$141.095,$139.96
10/14/2021,$139.87,6597204,$138.5,$140.075,$138.5
10/13/2021,$138.37,5981501,$139.5,$140.01,$138.13
10/12/2021,$139.38,5263099,$139.34,$140.41,$139.075
10/11/2021,$139.53,4349427,$139.52,$140.78,$139.44
10/08/2021,$139.66,4615761,$139.66,$140.09,$139.01
10/07/2021,$139.24,7022709,$138.78,$140.7,$138.76
10/06/2021,$137.62,6458888,$136.24,$137.79,$136.13
10/05/2021,$136.62,6865805,$135.95,$137.71,$135.9
10/04/2021,$135.73,9990084,$137.09,$138.23,$134.705
10/01/2021,$137.05,10004850,$139.26,$139.63,$135.9201
09/30/2021,$139.38,7490235,$140.64,$141.73,$139.25
09/29/2021,$140.44,7125163,$140.65,$141.83,$140.32
09/28/2021,$140.5,6860254,$141.88,$142.0748,$139.99
09/27/2021,$142.25,7083554,$142.87,$143.55,$141.84
09/24/2021,$143.17,4453540,$142.5,$143.69,$142.49
09/23/2021,$142.77,5195140,$143.22,$143.63,$142.45
09/22/2021,$142.69,5014843,$143.47,$143.6,$142.29
09/21/2021,$143.02,5812490,$142.7,$144.58,$142.67
09/20/2021,$142.74,8351467,$143.5,$145.185,$141.62
09/17/2021,$144.73,24346370,$144.14,$146.16,$144.02
09/16/2021,$145.03,6142756,$144.44,$145.3081,$143.6901
09/15/2021,$144.55,4949986,$144.07,$144.75,$143.79
09/14/2021,$144.3,5511250,$145.48,$145.88,$143.92
09/13/2021,$145.06,6509765,$146.52,$147.15,$144.636
