Date,Close/Last,Volume,Open,High,Low
12/01/2021,$190.16,13213370,$196.03,$196.81,$190.1
11/30/2021,$193.77,16022980,$195.27,$197.66,$192.56
11/29/2021,$196.29,14633520,$201,$201.25,$195.36
11/26/2021,$197.65,10987550,$193.32,$199.19,$192.55
11/24/2021,$203.25,12026820,$198.17,$203.95,$197.64
11/23/2021,$198.49,14749100,$196.97,$198.92,$194.38
11/22/2021,$195.58,21191920,$200,$201.7,$194.6
11/19/2021,$200.86,18038730,$202.04,$203.5,$199.85
11/18/2021,$203.33,18292160,$206.5,$207.87,$201.27
11/17/2021,$205.06,38379570,$205.95,$207.31,$199.46
11/16/2021,$215.18,8719577,$212.16,$215.65,$211.66
11/15/2021,$212.3,9596933,$213.62,$216.4,$211.81
11/12/2021,$212.09,7660450,$211.5,$213.58,$211.434
11/11/2021,$210.42,13546920,$216.47,$216.78,$210.16
11/10/2021,$215.56,10063590,$213.55,$216.95,$213.33
11/09/2021,$213.39,11535020,$219.69,$220.41,$212.915
11/08/2021,$220.49,13500100,$218.37,$221.61,$218.15
11/05/2021,$216.67,14273640,$211.95,$217.625,$211.36
11/04/2021,$208.78,11368190,$209.16,$212.3593,$207.87
11/03/2021,$208.1,11486710,$209.69,$210.15,$206.73
11/02/2021,$209.14,14688720,$213.16,$213.35,$207.82
11/01/2021,$212.46,13210300,$213.49,$215.25,$211.45
10/29/2021,$211.77,14329820,$209.21,$213.665,$208.54
10/28/2021,$209.84,23199410,$219.25,$219.99,$209.01
10/27/2021,$215.78,22958060,$224.75,$224.75,$215.66
10/26/2021,$231.82,7814503,$235.53,$236.96,$231.33
10/25/2021,$233.88,4938664,$233.45,$234.86,$232.29
10/22/2021,$231.23,3788001,$230.29,$232.82,$228.71
10/21/2021,$230.24,5982197,$230.7,$230.83,$226.3
10/20/2021,$231.42,5401813,$233.455,$233.8,$231.31
10/19/2021,$233.52,4409660,$231.95,$233.64,$230.68
10/18/2021,$230.65,5580210,$230.18,$232.76,$228.143
10/15/2021,$230.99,6355056,$227.22,$231.09,$226.73
10/14/2021,$225.18,5591944,$224.12,$225.65,$223.06
10/13/2021,$222.46,9077425,$223.13,$225.86,$218.63
10/12/2021,$224.05,5448215,$225.56,$226.22,$222.92
10/11/2021,$225.11,5620197,$230.01,$230.315,$224.87
10/08/2021,$230.27,3735169,$231,$232.7335,$230.18
10/07/2021,$230.55,6561920,$228.91,$231.16,$228.49
10/06/2021,$226.51,5420941,$222.04,$226.62,$221.25
10/05/2021,$224.28,5813999,$225.48,$227.38,$223.92
10/04/2021,$224.73,10283390,$230,$230.33,$220.81
10/01/2021,$230.46,7925368,$224.17,$231.56,$223.47
09/30/2021,$222.75,7134206,$227.58,$228.7855,$222.63
09/29/2021,$226.68,6432682,$226.8,$229.02,$226.09
09/28/2021,$225.56,6951365,$228.87,$228.87,$224
09/27/2021,$229.6,6881067,$231.72,$233.33,$228.77
09/24/2021,$231.59,6461244,$228.93,$231.95,$228.62
09/23/2021,$228.31,7952748,$225,$228.7,$224.36
09/22/2021,$222.75,6005862,$221.4,$224.1,$221.1
09/21/2021,$220.17,7033629,$220.75,$222.17,$218.98
09/20/2021,$220.05,8822592,$216.96,$220.5,$216.31
09/17/2021,$221.75,13833000,$222.45,$223.7,$219.3
09/16/2021,$224.33,5928460,$223.86,$225.2,$222.75
09/15/2021,$223.81,6535789,$222.52,$224.835,$221.36
