Date,Close/Last,Volume,Open,High,Low
12/01/2021,$142.15,16503230,$146.7,$148.37,$142.04
11/30/2021,$144.9,26011110,$146.72,$147.28,$143.11
11/29/2021,$147.81,21231320,$148.81,$149.3,$144.25
11/26/2021,$148.11,12027680,$146.8,$148.85,$145.85
11/24/2021,$151.34,14123740,$150.69,$151.41,$148.8
11/23/2021,$151.03,17382890,$153.84,$154.25,$150.19
11/22/2021,$154.16,12790410,$153.225,$155.8232,$152.57
11/19/2021,$154,16776490,$155.02,$155.21,$152.77
11/18/2021,$155.58,14487740,$157.09,$157.3,$153.71
11/17/2021,$157.33,14695530,$158.73,$158.89,$156.75
11/16/2021,$158.83,15516160,$159.06,$160.24,$158.55
11/15/2021,$158.43,21285350,$160.09,$160.72,$157.66
11/12/2021,$159.63,25638370,$163.52,$163.61,$158.93
11/11/2021,$162.11,62366500,$162.89,$163.96,$158.33
11/10/2021,$174.45,11045830,$174.69,$176.87,$173.87
11/09/2021,$175.11,7293301,$176.95,$177.1198,$173.21
11/08/2021,$176.87,10584590,$178.69,$179.25,$176.1018
11/05/2021,$175.63,16859180,$173.5,$176.99,$172.33
11/04/2021,$170.28,7505507,$170.03,$170.42,$168.67
11/03/2021,$170.08,6829310,$169.7,$170.19,$168.37
11/02/2021,$169.83,6777230,$170.03,$170.85,$168.98
11/01/2021,$170.19,8182898,$169.21,$171.25,$169.09
10/29/2021,$169.07,7598849,$169.02,$170.4599,$168.15
10/28/2021,$169.68,7884519,$169.48,$170.35,$168.6
10/27/2021,$169.55,7054716,$171.77,$172.04,$169.43
10/26/2021,$172.04,5850210,$172.95,$173.115,$170.71
10/25/2021,$172.01,9798688,$169.9,$172.57,$169.025
10/22/2021,$169.42,7854323,$170.57,$170.8,$168.6
10/21/2021,$171.34,7508956,$170.2,$172.5,$170.1
10/20/2021,$170.55,9737626,$170.97,$171.02,$169.88
10/19/2021,$171.18,9669482,$171.44,$171.58,$170.18
10/18/2021,$171.14,20494790,$172.36,$173.34,$169.8
10/15/2021,$176.46,13943890,$175.69,$178.89,$174.1
10/14/2021,$174.41,7453306,$174.07,$176.02,$174
10/13/2021,$172.96,8918152,$173.63,$173.7,$170.94
10/12/2021,$173.13,5188380,$173.62,$174.49,$172.545
10/11/2021,$173.52,8046270,$176.02,$176.52,$173.48
10/08/2021,$176.74,4132182,$177.93,$178.6,$176.4029
10/07/2021,$177.71,7779997,$177.7,$179.63,$177.33
10/06/2021,$175.48,6005169,$173,$175.71,$171.5501
10/05/2021,$174.61,6798224,$173.83,$176.24,$173.61
10/04/2021,$173.46,7200589,$175.56,$175.96,$172.665
10/01/2021,$176.01,12165020,$172.28,$177.32,$171.97
09/30/2021,$169.17,13977980,$173.1,$173.68,$169.1
09/29/2021,$172.68,6240771,$174.25,$174.96,$172.59
09/28/2021,$174.52,9133118,$177.75,$178,$173.86
09/27/2021,$178.26,7754953,$176.63,$179.4502,$175.96
09/24/2021,$176,5712778,$175.3,$176.7,$175.0772
09/23/2021,$176.25,8052869,$174.94,$177.19,$174.37
09/22/2021,$173.65,14214530,$172.94,$175.341,$171.66
09/21/2021,$171.17,23216030,$180.32,$182.23,$169.03
09/20/2021,$178.61,8056648,$179.74,$180.88,$176.55
09/17/2021,$183.47,10039200,$182.91,$185.9,$182.73
09/16/2021,$183.34,5678224,$183.97,$184.64,$182.12
09/15/2021,$184.41,5933400,$182.06,$184.66,$181.103
09/14/2021,$182.4,6185890,$184.96,$185.13,$182.15
09/13/2021,$184.98,6818241,$185.115,$185.8,$183.5
09/10/2021,$184.12,5572248,$186.36,$187.1,$184.01
09/09/2021,$185.91,7190666,$185.15,$187.5799,$184.57
09/08/2021,$185.15,8633959,$184.34,$187.46,$183.92
09/07/2021,$184.34,10705000,$181.02,$185.55,$180.05
09/03/2021,$181,6848827,$181.82,$181.82,$179.13
09/02/2021,$181.86,6497070,$184.16,$185.3,$181.55
09/01/2021,$183.48,7302824,$181.96,$184.21,$181.78
08/31/2021,$181.3,8620017,$179.25,$182.98,$178.53
08/30/2021,$179.98,6421287,$180.5,$181.39,$178.87
08/27/2021,$180.14,8696960,$176.28,$180.54,$176.28
08/26/2021,$176.56,4563000,$178.34,$178.94,$176.34
08/25/2021,$178.31,4842077,$178.16,$178.59,$176.88
08/24/2021,$178.47,5886947,$177.92,$180.08,$177.76
08/23/2021,$177.66,7395878,$177.08,$178.31,$175.9101
08/20/2021,$175.12,6239617,$173,$175.21,$172.65
08/19/2021,$173.25,8478606,$174,$174.68,$172.56
08/18/2021,$174.74,7063511,$175.9,$176.7925,$174.5
08/17/2021,$175.83,8534526,$177.15,$178.45,$174.9232
08/16/2021,$179.09,8755051,$180.505,$180.59,$176.51
08/13/2021,$181.08,32504620,$186.29,$187.5799,$180.88
08/12/2021,$179.29,11266420,$178.09,$179.72,$176.45
08/11/2021,$178.09,5359894,$177.36,$178.49,$176.51
08/10/2021,$177.07,5184959,$176.25,$177.4,$175.58
08/09/2021,$176.72,5338969,$177,$177.31,$175.062
08/06/2021,$177.13,5505241,$177.43,$178.81,$176.63
08/05/2021,$176.71,8864174,$172.49,$177.12,$172.49
08/04/2021,$172.58,5665827,$172.5,$173.25,$171.34
08/03/2021,$172.99,9931347,$176.02,$176.13,$170.92
08/02/2021,$175.55,5847175,$177.22,$178.82,$175.31
07/30/2021,$176.02,6813443,$177.53,$179.2,$175.14
07/29/2021,$178.35,6209059,$179.81,$181.42,$178.27
07/28/2021,$179.1,5926934,$179.69,$180.35,$177.55
07/27/2021,$179.5,6684123,$178.25,$179.56,$176.565
07/26/2021,$178.74,5641039,$175.62,$178.78,$175.34
07/23/2021,$176.14,5126271,$175.66,$176.5,$174.03
07/22/2021,$175.13,5713745,$176.7,$176.72,$173.9
07/21/2021,$176.89,6302229,$176.5,$177.9,$175.32
07/20/2021,$176.75,8372402,$173.7,$177.51,$172.87
07/19/2021,$172.95,14651780,$175.71,$176.4799,$172.16
07/16/2021,$179.31,8348797,$184.94,$185.29,$178.92
07/15/2021,$184.15,7866968,$183.45,$185.42,$183.05
07/14/2021,$183.42,8787307,$185.2,$186.29,$182.08
07/13/2021,$183.65,12534550,$184.09,$185.67,$181.8401
07/12/2021,$184.38,21835510,$177.71,$184.99,$177.37
07/09/2021,$177.04,7873266,$174.7,$177.518,$173.93
07/08/2021,$172.8,6960105,$170.18,$173.75,$169.81
07/07/2021,$172.82,6757282,$172.86,$174.32,$171.99
07/06/2021,$173.69,11557860,$176.76,$177,$172.22
07/02/2021,$177.11,11102750,$177.86,$178.36,$174.62
07/01/2021,$177.26,5887078,$175.35,$177.6,$174.6
06/30/2021,$175.77,7481883,$173.89,$175.98,$173.34
06/29/2021,$173.93,13498290,$176.64,$177.02,$173.8
06/28/2021,$176.57,9881440,$178.5,$178.66,$174.99
06/25/2021,$178.35,7431816,$178.83,$179.09,$177.485
06/24/2021,$177.93,7549422,$176.13,$178.24,$175.78
06/23/2021,$175.33,9174184,$173.62,$175.45,$172.94
06/22/2021,$173.5,8097070,$174.37,$174.7,$172.35
06/21/2021,$173.97,9196930,$172.13,$174.26,$171.3124
06/18/2021,$172.42,12357540,$173.14,$173.86,$172.115
06/17/2021,$174.65,8905994,$174.59,$176.26,$173.84
06/16/2021,$174.66,8335986,$176.01,$176.26,$173.55
06/15/2021,$175.86,7894959,$178.18,$178.7,$175.6233
06/14/2021,$178.18,10169970,$177.65,$178.87,$176.9
06/11/2021,$177.38,5476308,$177.45,$178.49,$176.81
06/10/2021,$176.57,5252999,$176.44,$177.61,$175.55
06/09/2021,$176.04,5082352,$176.31,$177.33,$175.88
06/08/2021,$176.33,5356212,$175.97,$177.1199,$175.192
06/07/2021,$176.99,5178102,$177.97,$178.07,$176.4
06/04/2021,$177.18,6343364,$175.93,$177.52,$175.61
06/03/2021,$176.24,5583852,$176.268,$176.97,$175.4155
06/02/2021,$177,7851747,$179.04,$179.1,$176.93
